Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
CISH,602.7042085744005,2.324258341944591,0.2516844900920992,9.234809586772997,2.587458135236371e-20,1.2287838684237526e-16,True,False
IGFBP2,6.2425022406727555,-2.0152187157046217,0.4901336494335188,-4.111569809650386,3.929780130826076e-05,0.002568237501095372,True,False
ALDH8A1,5.951947971079471,1.722136669735328,0.36290770918932913,4.745384642233897,2.0811049048276705e-06,0.00031542022956467896,True,False
YIPF4,39.98537364131262,-1.0026124980282602,0.27409738108404064,-3.657869674139099,0.00025432029813464777,0.009825608476555267,True,False
IFNA6,4.8171981511498565,-2.6816093741968383,0.873832488441978,-3.0687911123310165,0.0021492681349080775,0.040396600419571736,True,False
EGR1,23.78195227674868,1.018348666848204,0.3027323680489041,3.3638578967006842,0.0007686110740581534,0.020937671074773446,True,False
SOCS2,8.166132246405253,1.296121531989527,0.35406079647789196,3.66073156046368,0.0002514961448078005,0.009763121457974751,True,False
CALD1,1.6273284268578116,-2.556693473714773,0.6994460842392135,-3.6553117264151744,0.00025686966436432203,0.009890870562698637,True,False
GRK4,4.977431679878403,-2.297252094024241,0.5464225348431921,-4.2041679241568755,2.6204434505944234e-05,0.001954631300555955,True,False
ADGRE2,76.12990402156424,-6.167012218959674,0.7806850620143251,-7.899487922886006,2.8005156932992e-15,6.64982451373895e-12,True,False
SGO1,9.362657868898253,1.5984713287877854,0.3904228794688165,4.094205060324742,4.236192753322743e-05,0.0026823572514039612,True,False
PLVAP,1.7024019874096745,3.2909357060090656,1.0255499253339946,3.2089473410446545,0.0013322188906651328,0.02947223996165551,True,False
GFPT2,7.719410261112506,-1.5334825948675506,0.4818892991574153,-3.182230021602158,0.0014614569847831557,0.031123135518991957,True,False
SLC14A2,3.503881809514558,-3.4029445193018595,0.629246512668863,-5.4079672287236615,6.374408427004618e-08,2.144900282565604e-05,True,False
RTN3,7.317083582680038,2.424763393586379,0.5146632947372201,4.711358704576805,2.4607067725262684e-06,0.0003541180746280984,True,False
ZFHX2,2.3105558049713695,2.350871241711153,0.46443958760950066,5.061737423829939,4.154529475914249e-07,8.968118400507623e-05,True,False
MYC,1166.2163773948773,1.033208037742884,0.257786640375805,4.007996831164946,6.123594178886809e-05,0.0036451560175915798,True,False
RNF38,4.95964661842964,-2.1556518215921265,0.5707976859782862,-3.7765601973273064,0.0001590091425081524,0.007146382502566711,True,False
THBS1,34.948198957759615,-1.4046822288153753,0.468768069630989,-2.99653990921594,0.002730624926780671,0.04785143091247751,True,False
