Gene,Log2FoldChange,PValue
SLC22A16,-0.048257614674067695,0.37636900025056363
ZMYND10,-0.07380390953605742,0.2636963864915937
ABCB5,0.03471704225241179,0.7383895354661938
ARX,0.03556035962008086,0.6259596603255717
SLC25A13,-0.08379945561775792,0.24039832471458894
ST7,-0.0687638320484989,0.30498320505354637
CDC27,-0.09625974448539187,0.15031347126069747
SLC4A1,-0.02017328919091277,0.8525637583902648
CALCR,-0.045248530449846835,0.150091460582046
HCCS,-0.004767901090608095,0.8422184424079917
DVL2,-0.05116146739018346,0.10487360167406545
PRSS22,0.01513984779198152,0.8857262092299757
UPF1,-0.15943023581565452,0.05137432907086858
SKAP2,-0.15553714619259318,0.025247526156081893
SLC25A5,0.16719888001402516,0.03211898241563771
MCUB,0.07748999483821617,0.5121030000556446
HOXA11,0.02864443688464252,0.32613654205105747
POLR2J,0.02034323492921386,0.6195471268229988
DHX33,0.05055302925000893,0.11675510383248638
MEOX1,0.18429168066166168,0.03552163740276181
THSD7A,-0.003149261402917991,0.930185623237189
LIG3,0.03718378567568292,0.6402613511048929
RPAP3,0.012166686825147988,0.7078907271907429
ACSM3,0.024034870392540597,0.5524160179717565
REXO5,-0.13875598094062114,0.2813631628791111
CIAPIN1,0.025810624379402736,0.3164506539731273
SPPL2B,0.061199417378859255,0.4666412863927283
ATOSB,0.08224795629575499,0.01331747452136923
COPZ2,-0.030553648059151062,0.770053814945421
PRKAR2B,-0.02851407713084364,0.7469717574123094
MSL3,0.01311254753481883,0.9123894966126427
CREBBP,-0.1860917104116191,0.002273860743468517
TSPOAP1,-0.023193477481973535,0.8887706110713522
MPO,-0.000293823923469827,0.9266052888929054
PON1,0.01036646733248442,0.851464105222325
GCFC2,0.00011224870522674735,0.9964483752360981
WDR54,0.033054758252887506,0.5385097754762938
CROT,-0.02087639465813962,0.6156518621177753
ABCB4,-0.054236486731245814,0.8800290872027988
KMT2E,-0.24475921646308052,0.012640345800404714
RHBDD2,-0.2188240004862183,0.0119099721011387
SOX8,-0.006368104594248525,0.9398701609423097
IBTK,0.02498295869142897,0.5049064698152461
ZNF195,0.0002918337500457113,0.9933783423620886
MYCBP2,-0.07243986684788029,0.4388460935285443
FBXL3,-0.1225643449806273,0.07964662625902837
ITGAL,-0.02245121288585672,0.8359943670037941
PDK2,0.019550922453316133,0.6310756389661223
ITGA3,0.1124702438446934,0.09918560554026407
ZFX,-0.031483010051015725,0.5614505112593259
LAMP2,0.0558389289284853,0.5281347457508221
ITGA2B,0.08519307032339019,0.45717756824684164
ASB4,-0.0483605302490126,0.6578893775696507
GDE1,-0.03175969744395779,0.4904231358092511
REX1BD,-0.0258168916743986,0.3352900811857933
CRLF1,-0.1229626727670059,0.22639194674819535
OSBPL7,0.0023898597340874517,0.9760131213233881
TMEM98,-0.003906578150535411,0.987054916821707
YBX2,0.011872866518272573,0.9153154910713643
KRT33A,-0.07144844675074963,0.3213650905218018
MAP3K14,-0.08225485456732828,0.030244520196473335
ABCC8,0.019547289304495785,0.861535685264342
CACNG3,-0.008089989987767221,0.8848288762386529
TMEM132A,-0.1925770185469905,0.11587354089019392
AP2B1,-0.10164564011720989,0.30305365582830146
TAC1,-0.06635962057856215,0.21981365263733924
ZNF263,0.26408223131654385,2.6923758017308806e-05
CX3CL1,-0.04343490184651344,0.6810960606261955
SPATA20,-0.11095242161244423,0.026928041310374587
CACNA1G,-0.0019236734996834204,0.97005107701244
