Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
GABPB1,48.63679751441511,-1.0666359306359627,0.21847810621043942,-4.882118163403397,1.0495233073035836e-06,0.00018690698198942695,True,False
TM2D2,17.32136758265031,1.0218807590523302,0.21071530380730674,4.849580170915405,1.2372305698212065e-06,0.00021761511022521887,True,False
GPR15,133.73454727403046,1.8416005011770458,0.3800196019219532,4.846067128808965,1.2593292097544647e-06,0.0002188007713581934,True,False
RAVER2,6.867874673613201,-1.2259163336010412,0.2536271969584606,-4.8335365777110395,1.3412862050963504e-06,0.00022434021229150532,True,False
ALDH8A1,5.951947971079471,1.7221366697242244,0.36290770904961833,4.745384644030161,2.081104886358722e-06,0.0003154202267654544,True,False
PEAK1,54.562211749664854,-1.4220044971186308,0.3004345332732753,-4.733159273089206,2.210518926245329e-06,0.00032467281589914634,True,False
RTN3,7.317083582680038,2.424763393545526,0.5146632946567459,4.711358705234106,2.4607067645883084e-06,0.00035411807348575383,True,False
ALKBH1,98.50324522129837,-1.3214473141149394,0.28618771418929506,-4.617414545059351,3.8855060074353425e-06,0.00049870994673812,True,False
HBEGF,9.832987141355947,2.1126743985126226,0.4579369105912626,4.61346170105584,3.960172632776141e-06,0.0005037551740996578,True,False
ZNF263,4.729740382785201,1.080560585572139,0.23438835445090297,4.610129151269257,4.02418893484853e-06,0.0005073683164140443,True,False
RNU6-781P,22.037105800379447,-4.110018783175662,0.8931417182621934,-4.601754345517105,4.189471490618802e-06,0.0005190208724073571,True,False
CEACAM1,23.472901684369276,1.2864615121072933,0.28107873995158034,4.576872346620395,4.719792642332208e-06,0.0005529188648704147,True,False
MAFIP,18.28347768715006,1.1847912132002276,0.2632824785388595,4.500076191076106,6.792911030085518e-06,0.0007168785440416917,True,False
METTL27,7.275971905553552,1.7486744534541627,0.39333690836290597,4.445742101172912,8.758897630567068e-06,0.0008732477591612584,True,False
ZNF736,192.05670037640562,-1.2439621994087682,0.27985114907599984,-4.445085194454364,8.785704415941846e-06,0.0008732477591612584,True,False
EID2B,34.837631441993565,-1.1706915587831719,0.26478750830004266,-4.421249198268857,9.813192053535095e-06,0.0009510785522905749,True,False
PRECSIT,2.407283616532481,-2.8641622754842673,0.654656393457717,-4.375061947163674,1.2139799810974346e-05,0.001124812391944953,True,False
CHRNG,7.54267732242143,-2.0969819777742633,0.4792060814544203,-4.375950262170698,1.2090458380410839e-05,0.001124812391944953,True,False
LINC01709,53.24787510341176,-1.5807557059868136,0.36201283562602427,-4.366573641658955,1.2621074820756266e-05,0.001145034130982842,True,False
SOCS3,423.9497843924393,1.0304096376157226,0.23939960885370473,4.304140856994457,1.676349880614946e-05,0.0014048798087718316,True,False
RTN4RL1,3.479247330770762,1.717301875227486,0.40588106922707184,4.231046987477837,2.3260607071486733e-05,0.001841077049708175,True,False
RIMBP3C,2.9016945874569093,3.3234979569337058,0.7899788844265194,4.207071888188986,2.5870086500689256e-05,0.001946819041964781,True,False
GRK4,4.977431679878403,-2.2972520940045276,0.5464225346861786,-4.204167925328857,2.6204434370182525e-05,0.0019546312904292693,True,False
TCERG1L,2.751947915636328,-2.820992483473423,0.6748320599727862,-4.180288179531933,2.9113989879721795e-05,0.00207855146760629,True,False
IGFL2,2.852211654377156,3.6385052546852004,0.8705010837099151,4.179782567505329,2.9178795081158003e-05,0.00207855146760629,True,False
