Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
MPDU1,185.8336261204549,0.404719756580843,0.0738790180996886,5.478142062401733,4.2981499704725896e-08,1.635436050181059e-05,4.786366433254974
CLP1,38.24860909684279,-0.6275920667317604,0.1150446464176292,-5.455204446919743,4.891653067250992e-08,1.786958493567305e-05,4.747885534916868
DENND6A,166.66342217184652,-0.3967231813349157,0.073025046326959,-5.432700166442145,5.5507632794372735e-08,1.977043111053571e-05,4.703983860434158
NUP50,358.064042471937,0.4909499346472492,0.0906413625739677,5.4164006443152255,6.081075682924708e-08,2.1130996403567883e-05,4.675080023895691
SLC14A2,3.503881809514558,-3.402944519301857,0.6292465126688621,-5.407967228723665,6.374408427004504e-08,2.144900282566985e-05,4.668592893566701
BRAT1,163.5704945822613,0.5374312107769086,0.0994285939415064,5.405197735101011,6.473693560074427e-08,2.144900282566985e-05,4.668592893566701
CXADR,16.011753818517285,-3.126672954653473,0.5819502307709397,-5.372749746161982,7.754491626961605e-08,2.5108691411209543e-05,4.600175920807583
ADGRF1,16.558790322036092,-1.9242601704480151,0.3608435923544057,-5.332671027612667,9.677854623016928e-08,3.06400877364716e-05,4.513709995455526
CNP,181.8369894906496,0.3478742974671213,0.065385521745572,5.320356681113115,1.0356400692373425e-07,3.073909180505087e-05,4.512308967997026
OR2A25,8.330988260061643,-5.236100145501854,0.9841245159114697,-5.320566717771804,1.0344450350393016e-07,3.073909180505087e-05,4.512308967997026
C3orf38,318.687416657147,-0.2459485512617597,0.0462026244033873,-5.323259326449168,1.0192427775328996e-07,3.073909180505087e-05,4.512308967997026
NASP,301.2095548250593,0.3741785504745991,0.0705394094532503,5.304531940015516,1.129624642258513e-07,3.284441281276945e-05,4.483538497975051
CBLB,300.26346574756974,-1.1629932920854706,0.2201153252170931,-5.283563472640741,1.2669493931485694e-07,3.595057353097426e-05,4.444294176787344
ETNK1,98.96084483831928,0.6197084915346761,0.117510424094313,5.273646966309153,1.3373906065428762e-07,3.595057353097426e-05,4.444294176787344
IRF7,253.90717770051228,0.5049170113732684,0.0956844901695523,5.2768950378327615,1.313910924298715e-07,3.595057353097426e-05,4.444294176787344
ZNF75D,34.42597631177527,0.6334761563177449,0.1201017645086821,5.274494999379887,1.3312214810632934e-07,3.595057353097426e-05,4.444294176787344
H2BC7,11.434882718102774,2.2233423591174706,0.4238594598889197,5.245470656005033,1.5588387000730126e-07,4.112736103692632e-05,4.385869156376304
CPT1B,363.6381156551081,-0.6829891950882643,0.1303617066800056,-5.239185743132177,1.6128664275292018e-07,4.177910544183371e-05,4.379040863202875
TRIM5,82.9388790603278,0.7858480090058703,0.1505582057691307,5.219562792950037,1.7934600181643568e-07,4.562754442640641e-05,4.340772903367551
TERF2IP,253.7199590890676,-0.3613765205534274,0.0696089466375034,-5.1915240498514805,2.085796385712267e-07,5.0819200742886434e-05,4.293972169582455
SLC39A14,39.49415405950647,0.4241940830378216,0.0816745962689693,5.193708967239617,2.0614531411707875e-07,5.0819200742886434e-05,4.293972169582455
MAT2B,877.3986441449764,0.3412172269058593,0.0657469193800744,5.189858781570076,2.1045362840108798e-07,5.0819200742886434e-05,4.293972169582455
MXI1,258.5571005745292,-0.5641823261338672,0.1088013496173097,-5.185434997987458,2.155112460469124e-07,5.117314537383934e-05,4.290957888157457
