refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR7726046	SRP158491	58.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated10__CD8-Tn cells	
SRR7726048	SRP158491	58.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated2__CD4-Tem cells	
SRR7726050	SRP158491	58.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated2__CD8-Tcm cells	
SRR7726052	SRP158491	58.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	temra cd8 cell		RA_TCZ treated2__CD8-Temra cells	
SRR7726053	SRP158491	58.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated2__CD8-Tn cells	
SRR7726054	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd4 cell		RA_TCZ treated3__CD4-Tcm cells	
SRR7726055	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated3__CD4-Tem cells	
SRR7726056	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd4 cell		RA_TCZ treated3__CD4-Tn cells	
SRR7726057	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated3__CD8-Tcm cells	
SRR7726058	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd8 cell		RA_TCZ treated3__CD8-Tem cells	
SRR7726059	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	temra cd8 cell		RA_TCZ treated3__CD8-Temra cells	
SRR7726060	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated3__CD8-Tn cells	
SRR7726061	SRP158491	44.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd4 cell		RA_TCZ treated4__CD4-Tcm cells	
SRR7726063	SRP158491	44.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd4 cell		RA_TCZ treated4__CD4-Tn cells	
SRR7726064	SRP158491	44.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated4__CD8-Tcm cells	
SRR7726066	SRP158491	44.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	temra cd8 cell		RA_TCZ treated4__CD8-Temra cells	
SRR7726067	SRP158491	44.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated4__CD8-Tn cells	
SRR7726068	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd4 cell		RA_TCZ treated5__CD4-Tcm cells	
SRR7726069	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated5__CD4-Tem cells	
SRR7726071	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated5__CD8-Tcm cells	
SRR7726074	SRP158491	63.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated5__CD8-Tn cells	
SRR7726075	SRP158491	53.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd4 cell		RA_TCZ treated6__CD4-Tcm cells	
SRR7726077	SRP158491	53.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd4 cell		RA_TCZ treated6__CD4-Tn cells	
SRR7726078	SRP158491	53.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated6__CD8-Tcm cells	
SRR7726081	SRP158491	53.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated6__CD8-Tn cells	
SRR7726082	SRP158491	73.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd4 cell		RA_TCZ treated7__CD4-Tcm cells	
SRR7726083	SRP158491	73.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated7__CD4-Tem cells	
SRR7726089	SRP158491	48.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated8__CD4-Tem cells	
SRR7726092	SRP158491	48.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated8__CD8-Tn cells	
SRR7726094	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd4 cell		RA_TCZ treated9__CD4-Tem cells	
SRR7726095	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd4 cell		RA_TCZ treated9__CD4-Tn cells	
SRR7726096	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tcm cd8 cell		RA_TCZ treated9__CD8-Tcm cells	
SRR7726097	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tem cd8 cell		RA_TCZ treated9__CD8-Tem cells	
SRR7726098	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	temra cd8 cell		RA_TCZ treated9__CD8-Temra cells	
SRR7726099	SRP158491	68.000				ra tcz treatment			HOMO_SAPIENS	Ion Torrent Proton (IonTorrentProton)	True	387	Tximport	v1.26.0-hotfix		female		SRA	blood	tn cd8 cell		RA_TCZ treated9__CD8-Tn cells	
